titulos;ano;nota;
The Shawshank Redemption;-1994;9.2;
The Godfather;-1972;9.2;
The Dark Knight;-2008;9.2;
The Godfather Part II;-1974;9.2;
12 Angry Men;-1957;9.2;
Schindler's List;-1993;9.2;
The Lord of the Rings: The Return of the King;-2003;9.2;
Pulp Fiction;-1994;9.2;
The Lord of the Rings: The Fellowship of the Ring;-2001;9.2;
The Good  the Bad and the Ugly;-1966;9.2;
Forrest Gump;-1994;9.2;
Fight Club;-1999;9.2;
The Lord of the Rings: The Two Towers;-2002;9.2;
Inception;-2010;9.2;
Star Wars: Episode V - The Empire Strikes Back;-1980;9.2;
The Matrix;-1999;9.2;
Goodfellas;-1990;9.2;
One Flew Over the Cuckoo's Nest;-1975;9.2;
Se7en;-1995;9.2;
Seven Samurai;-1954;9.2;
It's a Wonderful Life;-1946;9.2;
The Silence of the Lambs;-1991;9.2;
City of God;-2002;9.2;
Saving Private Ryan;-1998;9.2;
Life Is Beautiful;-1997;9.2;
Interstellar;-2014;9.2;
The Green Mile;-1999;9.2;
Star Wars: Episode IV - A New Hope;-1977;9.2;
Terminator 2: Judgment Day;-1991;9.2;
Back to the Future;-1985;9.2;
Spirited Away;-2001;9.2;
Psycho;-1960;9.2;
The Pianist;-2002;9.2;
Parasite;-2019;9.2;
Léon: The Professional;-1994;9.2;
The Lion King;-1994;9.2;
Gladiator;-2000;9.2;
American History X;-1998;9.2;
The Departed;-2006;9.2;
The Usual Suspects;-1995;9.2;
The Prestige;-2006;9.2;
Whiplash;-2014;9.2;
Casablanca;-1942;9.2;
Harakiri;-1962;9.2;
The Intouchables;-2011;9.2;
Grave of the Fireflies;-1988;9.2;
Modern Times;-1936;9.2;
Once Upon a Time in the West;-1968;9.2;
Rear Window;-1954;9.2;
Cinema Paradiso;-1988;9.2;
Alien;-1979;9.2;
City Lights;-1931;9.2;
Apocalypse Now;-1979;9.2;
Memento;-2000;9.2;
Indiana Jones and the Raiders of the Lost Ark;-1981;9.2;
Django Unchained;-2012;9.2;
WALL·E;-2008;9.2;
The Lives of Others;-2006;9.2;
Sunset Blvd.;-1950;9.2;
Paths of Glory;-1957;9.2;
The Great Dictator;-1940;9.2;
The Shining;-1980;9.2;
Avengers: Infinity War;-2018;9.2;
Witness for the Prosecution;-1957;9.2;
Aliens;-1986;9.2;
Spider-Man: Into the Spider-Verse;-2018;9.2;
American Beauty;-1999;9.2;
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;-1964;9.2;
The Dark Knight Rises;-2012;9.2;
Oldboy;-2003;9.2;
Amadeus;-1984;9.2;
Joker;-2019;9.2;
Inglourious Basterds;-2009;9.2;
Coco;-2017;9.2;
Toy Story;-1995;9.2;
Braveheart;-1995;9.2;
The Boat;-1981;9.2;
Avengers: Endgame;-2019;9.2;
Princess Mononoke;-1997;9.2;
Once Upon a Time in America;-1984;9.2;
Good Will Hunting;-1997;9.2;
Top Gun: Maverick;-2022;9.2;
Your Name.;-2016;9.2;
Requiem for a Dream;-2000;9.2;
Singin' in the Rain;-1952;9.2;
3 Idiots;-2009;9.2;
Toy Story 3;-2010;9.2;
High and Low;-1963;9.2;
Star Wars: Episode VI - Return of the Jedi;-1983;9.2;
Capernaum;-2018;9.2;
Eternal Sunshine of the Spotless Mind;-2004;9.2;
2001: A Space Odyssey;-1968;9.2;
Reservoir Dogs;-1992;9.2;
The Hunt;-2012;9.2;
Come and See;-1985;9.2;
Citizen Kane;-1941;9.2;
M;-1931;9.2;
Lawrence of Arabia;-1962;9.2;
North by Northwest;-1959;9.2;
Vertigo;-1958;9.2;
Amélie;-2001;9.2;
A Clockwork Orange;-1971;9.2;
The Apartment;-1960;9.2;
Ikiru;-1952;9.2;
Double Indemnity;-1944;9.2;
Full Metal Jacket;-1987;9.2;
Hamilton;-2020;9.2;
Scarface;-1983;9.2;
The Sting;-1973;9.2;
To Kill a Mockingbird;-1962;9.2;
Incendies;-2010;9.2;
Up;-2009;9.2;
Heat;-1995;9.2;
Taxi Driver;-1976;9.2;
A Separation;-2011;9.2;
Metropolis;-1927;9.2;
L.A. Confidential;-1997;9.2;
Snatch;-2000;9.2;
Die Hard;-1988;9.2;
Bicycle Thieves;-1948;9.2;
Indiana Jones and the Last Crusade;-1989;9.2;
Like Stars on Earth;-2007;9.2;
1917;-2019;9.2;
Downfall;-2004;9.2;
For a Few Dollars More;-1965;9.2;
Dangal;-2016;9.2;
Batman Begins;-2005;9.2;
The Kid;-1921;9.2;
Some Like It Hot;-1959;9.2;
The Father;-2020;9.2;
All About Eve;-1950;9.2;
Green Book;-2018;9.2;
The Wolf of Wall Street;-2013;9.2;
Judgment at Nuremberg;-1961;9.2;
Ran;-1985;9.2;
Casino;-1995;9.2;
Pan's Labyrinth;-2006;9.2;
Unforgiven;-1992;9.2;
There Will Be Blood;-2007;9.2;
The Truman Show;-1998;9.2;
The Sixth Sense;-1999;9.2;
A Beautiful Mind;-2001;9.2;
Spider-Man: No Way Home;-2021;9.2;
Yojimbo;-1961;9.2;
Shutter Island;-2010;9.2;
Monty Python and the Holy Grail;-1975;9.2;
The Treasure of the Sierra Madre;-1948;9.2;
Jurassic Park;-1993;9.2;
The Great Escape;-1963;9.2;
Rashomon;-1950;9.2;
Kill Bill: Vol. 1;-2003;9.2;
No Country for Old Men;-2007;9.2;
